Time(h),250,500,750,1000,1250,1500,1750,2000,2250,2500,2750,3000,3250,3500,3750,4000,,,,,,,,
Unit1,0.47,0.93,2.11,2.72,3.51,4.34,4.91,5.48,5.99,6.72,7.13,8,8.92,9.49,9.87,10.94,,,,,,,,
Unit2,0.71,1.22,1.9,2.3,2.87,3.75,4.42,4.99,5.51,6.07,6.64,7.16,7.78,8.42,8.91,9.28,,,,,,,,
Unit3,0.71,1.17,1.73,1.99,2.53,2.97,3.3,3.94,4.16,4.45,4.89,5.27,5.69,6.02,6.45,6.88,,,Degradation,State,,,,
Unit4,0.36,0.62,1.36,1.95,2.3,2.95,3.39,3.79,4.11,4.5,4.72,4.98,5.28,5.61,5.95,6.14,,,0,1,,,,
Unit5,0.27,0.61,1.11,1.77,2.06,2.58,2.99,3.38,4.05,4.63,5.24,5.62,6.04,6.32,7.1,7.59,,,1.75,2,,,,
Unit6,0.36,1.39,1.95,2.86,3.46,3.81,4.53,5.35,5.92,6.71,7.7,8.61,9.15,9.95,10.49,11.01,,,3.5,3,,,,
Unit7,0.36,0.92,1.21,1.46,1.93,2.39,2.68,2.94,3.42,4.09,4.58,4.84,5.11,5.57,6.11,7.17,,,5.25,4,,,,
Unit8,0.46,1.07,1.42,1.77,2.11,2.4,2.78,3.02,3.29,3.75,4.16,4.76,5.16,5.46,5.81,6.24,,,7,5,,,,
Unit9,0.51,0.93,1.57,1.96,2.59,3.29,3.61,4.11,4.06,4.91,5.34,5.84,6.4,6.84,7.2,7.88,,,,,,,,
Unit10,0.41,1.49,2.38,3,3.84,4.5,5.25,6.26,7.05,7.8,8.32,8.93,9.55,10.45,11.28,12.21,,,,,,,,
Unit11,0.44,1,1.57,1.96,2.51,2.84,3.47,4.01,4.51,4.8,5.2,5.66,6.2,6.54,6.96,7.42,,,,,,,,
Unit12,0.39,0.8,1.35,1.74,2.98,3.59,4.03,4.44,4.79,5.22,5.48,5.96,6.23,6.99,7.37,7.88,,,,,,,,
Unit13,0.3,0.74,1.52,1.85,2.39,2.95,3.51,3.92,5.03,5.47,5.84,6.5,6.94,7.39,7.85,8.09,,,,,,,,
Unit14,0.44,0.7,1.05,1.35,1.8,2.55,2.83,3.39,3.72,4.09,4.83,5.41,5.76,6.14,6.51,6.88,,,,,,,,
Unit15,0.51,0.83,1.29,1.52,1.91,2.27,2.78,3.42,3.78,4.11,4.38,4.63,5.38,5.84,6.16,6.62,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Degradation state at each time step,,,,,,,,,,,,,,,,,,,,,,,
Unit1,1,1,2,2,3,3,3,4,4,4,5,5,5,5,5,5,,,,,,,,
Unit2,1,1,2,2,2,3,3,3,4,4,4,5,5,5,5,5,,,,,,,,
Unit3,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,,,,,,,,
Unit4,1,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,,,,,,,,
Unit5,1,1,1,2,2,2,2,2,3,3,3,4,4,4,5,5,,,,,,,,
Unit6,1,1,2,2,2,3,3,4,4,4,5,5,5,5,5,5,,,,,,,,
Unit7,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,5,,,,,,,,
Unit8,1,1,1,2,2,2,2,2,2,3,3,3,3,4,4,4,,,,,,,,
Unit9,1,1,1,2,2,2,3,3,3,3,4,4,4,4,5,5,,,,,,,,
Unit10,1,1,2,2,3,3,4,4,5,5,5,5,5,5,5,5,,,,,,,,
Unit11,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,,,,,,,,
Unit12,1,1,1,1,2,3,3,3,3,3,4,4,4,4,5,5,,,,,,,,
Unit13,1,1,1,2,2,2,3,3,3,4,4,4,4,5,5,5,,,,,,,,
Unit14,1,1,1,1,2,2,2,2,3,3,3,4,4,4,4,4,,,,,,,,
Unit15,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,,,,,,,,
,,,,,,,,,,,,,,,,,,Transitions,,,,,,
,Transitions,,,,,,,,,,,,,,,,,,Final state,,,,,
Unit1,11,12,22,23,33,33,34,44,44,45,55,55,55,55,55,,,,1,2,3,4,5,
Unit2,11,12,22,22,23,33,33,34,44,44,45,55,55,55,55,,Initial state,1,11,12,13,14,15,
Unit3,11,11,12,22,22,22,23,33,33,33,34,44,44,44,44,,,2,21,22,23,24,25,
Unit4,11,11,12,22,22,22,23,33,33,33,33,34,44,44,44,,,3,31,32,33,34,35,
Unit5,11,11,12,22,22,22,22,23,33,33,34,44,44,45,55,,,4,41,42,43,44,45,
Unit6,11,12,22,22,23,33,34,44,44,45,55,55,55,55,55,,,5,51,52,53,54,55,
Unit7,11,11,11,12,22,22,22,22,23,33,33,33,34,44,45,,,Transition count,,,,,,
Unit8,11,11,12,22,22,22,22,22,23,33,33,33,34,44,44,,,,1,2,3,4,5,Total number of time steps with system in state i
Unit9,11,11,12,22,22,23,33,33,33,34,44,44,44,45,55,,,1,30,15,0,0,0,45
Unit10,11,12,22,23,33,34,44,45,55,55,55,55,55,55,55,,,2,0,38,15,0,0,53
Unit11,11,11,12,22,22,22,23,33,33,33,34,44,44,44,45,,,3,0,0,38,15,0,53
Unit12,11,11,11,12,23,33,33,33,33,34,44,44,44,45,55,,,4,0,0,0,38,10,48
Unit13,11,11,12,22,22,23,33,33,34,44,44,44,45,55,55,,,5,0,0,0,0,26,26
Unit14,11,11,11,12,22,22,22,23,33,33,34,44,44,44,44,,,State Transition Probabilities,,,,,,
Unit15,11,11,11,12,22,22,22,23,33,33,33,34,44,44,44,,,,1,2,3,4,5,
,,,,,,,,,,,,,,,,,,1,0.666666667,0.333333333,0,0,0,
,,,,,,,,,,,,,,,,,,2,0,0.716981132,0.283018868,0,0,
,,,,,,,,,,,,,,,,,,3,0,0,0.716981132,0.283018868,0,
,,,,,,,,,,,,,,,,,,4,0,0,0,0.791666667,0.208333333,
,,,,,,,,,,,,,,,,,,5,0,0,0,0,1,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Q: Given S2 now, probability of being in S4 in 4 time steps?",,,,,,
,,,,,,,,,,,,,,,,,n=2,,0.444444444,0.461215933,0.094339623,0,0,
,,,,,,,,,,,,,,,,,,,0,0.514061944,0.405838377,0.08009968,0,
,,,,,,,,,,,,,,,,,,,0,0,0.514061944,0.426975792,0.058962264,
,,,,,,,,,,,,,,,,,,,0,0,0,0.626736111,0.373263889,
,,,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,,,,,,,,,,,,,,n=3,,0.296296296,0.47883127,0.198172541,0.026699893,0,
,,,,,,,,,,,,,,,,,,,0,0.368572714,0.436467688,0.178272164,0.016687433,
,,,,,,,,,,,,,,,,,,,0,0,0.368572714,0.483511731,0.147915554,
,,,,,,,,,,,,,,,,,,,0,0,0,0.496166088,0.503833912,
,,,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,,,,,,,,,,,,,,n=4,,0.197530864,0.442078418,0.277604256,0.077223984,0.005562478,
,,,,,,,,,,,,,,,,,,,0,0.264259682,0.417252129,0.264660721,0.053827467,
,,,,,,,,,,,,,,,,,,,0,0,0.264259682,0.487093153,0.248647165,
,,,,,,,,,,,,,,,,,,,0,0,0,0.392798153,0.607201847,
,,,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
